"decimalLongitude","decimalLatitude","N"
-108.163493,29.551388,5
-92.693431,16.71535,3
-99.197445,19.413173,52
-103.58354,20.64274,37
-92.635603,16.737462,73
-102.431073,21.873367,41
-99.194827,19.42894,3
-97.321401,18.791308,4
-102.613495,22.192392,3
-108.03504,27.31984,14
-99.117694,19.346139,51
-99.015846,19.128356,8
-99.095092,19.301909,8
-99.17308,19.318879,16
-97.319555,18.249935,16
-98.739722,20.191944,23
-107.605956,29.773145,4
-107.630833,29.767222,2
-102.612176,22.191567,4
-104.599028,20.369895,5
-102.370412,21.823312,5
-108.775506,31.318645,2
-99.104167,19.29,6
-99.861291,20.509922,79
-116.090598,32.499483,14
-98.80816,19.463679,10
-99.193502,19.319785,52
-100.427505,25.272554,38
-99.195954,19.254005,22
-109.207792,30.590354,2
-96.913147,17.300493,1
-103.761643,19.941897,4
-99.073716,19.135823,5
-92.662078,16.739101,4
-108.980185,28.364114,9
-99.071274,19.12076,30
-99.128968,19.351659,6
-99.175455,19.277406,2
-108.970842,28.363018,1
-99.081616,19.129032,5
-99.203131,19.293768,10
-96.931343,17.416494,1
-103.530505,20.610809,2
-99.162222,19.3525,1
-99.173568,19.323351,5
-108.414072,29.214789,4
-96.915808,17.320324,1
-99.18229,19.318589,6
-103.579172,20.656782,21
-104.600578,20.375094,1
-108.212478,29.32719,2
-102.593905,22.117549,1
-99.071319,19.460098,5
-108.373387,29.136156,5
-99.334416,19.61923,5
-97.33243,18.790902,9
-99.17986,19.421552,484
-116.652049,31.872225,41
-99.096819,19.301097,107
-99.310409,19.313379,3
-99.190093,19.256484,3
-99.065545,19.269908,19
-99.201415,19.419002,60
-99.213889,19.496556,15
-99.2907,19.310293,33
-99.168829,19.412753,12
-98.910596,19.528485,14
-92.69267,16.726,14
-98.991827,19.252974,8
-98.840826,19.515149,53
-99.194596,19.40182,1
-99.058549,19.167419,28
-103.283554,20.410342,1
-99.189935,19.256195,4
-100.720618,24.952385,21
-100.105057,20.371127,35
-99.195941,19.296191,20
-108.117421,29.275282,2
-99.523044,19.52944,1
-104.296517,24.159,10
-99.31043,19.312622,12
-99.171522,19.353617,7
-99.181754,19.318636,13
-116.657209,32.554482,6
-99.193449,19.294947,2
-99.0925,19.0175,5
-101.001799,25.342436,1
-102.37376,21.751767,6
-104.007225,20.726294,98
-104.61113,23.944642,106
-102.224522,21.67067,9
-99.802857,20.684681,1
-97.03007,19.61491,144
-100.727205,20.918132,59
-99.176242,19.352267,5
-92.643524,16.733605,138
-107.82308,27.535312,5
-99.094545,19.294902,129
-102.707716,21.730468,6
-99.237496,18.981035,16
-97.37008,19.60591,193
-92.64073,16.736419,192
-92.677853,16.720447,124
-99.179931,19.328375,2
-99.185278,19.342778,4
-99.197222,19.306944,4
-102.226582,21.661576,6
-96.46852,17.06399,4
-99.231327,19.418994,17
-99.81034,20.691676,24
-116.773794,32.036762,5
-110.215842,30.009426,19
-109.028299,28.364441,63
-101.154444,19.726389,5
-96.648575,17.131099,6
-99.068699,19.436809,19
-98.88472,19.492248,18
-99.184045,19.296259,33
-99.19259,19.322406,12
-101.943238,21.26828,30
-116.598415,31.894757,70
-98.302364,19.05851,4
-100.669527,20.955268,12
-99.19347,19.294193,1
-100.798917,21.006725,18
-101.724,19.615082,43
-116.643219,31.81042,15
-92.549861,16.66883,24
-99.093289,19.250772,5
-99.909968,20.533711,27
-98.879261,19.491765,27
-100.34597,25.354008,10
-101.611986,19.519363,3
-102.43103,21.88189,29
-101.701195,19.557882,32
-102.2086,19.89926,3
-99.989136,20.546671,22
-99.194789,19.316856,1
-102.418327,21.885633,1
-109.854411,23.765376,1
-96.796406,17.288006,13
-99.171667,19.3475,1
-96.551513,17.180877,162
-99.13107,23.712713,7
-99.166944,19.338889,4
-99.095263,19.291783,10
-101.118035,19.654874,64
-99.174914,19.279907,1
-98.84717,19.688738,4
-99.96696,20.513374,8
-99.074138,19.260591,4
-98.784474,19.458186,4
-99.178245,19.325679,5
-99.062973,19.593254,4
-99.181066,19.273961,1
-98.87325,19.487508,9
-103.606353,19.59327,2
-92.670518,16.745839,10
-103.594577,19.606712,10
-99.103525,19.019969,17
-99.101492,19.286571,8
-96.709857,17.231235,7
-99.19305,19.29572,36
-99.182111,19.318479,3
-99.311246,19.312731,21
-99.218119,19.02362,18
-115.949922,32.003745,12
-99.302225,19.55816,1
-99.059907,19.263056,7
-99.196066,19.113705,12
-99.302076,19.558649,1
-102.547427,21.86361,8
-103.396261,20.709275,324
-101.352997,21.002471,39
-103.140979,20.314868,4
-99.182859,19.301356,38
-104.608855,23.943115,30
-98.039337,19.97756,4
-98.953814,19.086483,12
-97.105484,19.624796,5
-99.185482,19.332673,30
-96.735306,17.061232,45
-103.482971,19.531157,44
-99.646587,21.086954,8
-99.185965,19.421769,4
-99.203636,19.263546,6
-99.178852,19.378065,30
-99.100505,19.291023,96
-99.134445,19.424334,43
-104.289463,19.591363,1
-99.192177,19.317914,5
-99.03986,19.267721,18
-99.183251,19.296378,7
-116.59821,31.761447,56
-96.441505,17.135371,2
-98.036992,19.981012,2
-98.114347,19.03145,10
-101.13739,19.699728,36
-99.243976,19.224627,6
-96.727718,17.095573,13
-96.498543,17.091099,4
-116.911011,32.201617,45
-101.014234,19.64859,145
-98.254251,19.272258,18
-92.635501,16.734681,3
-103.461942,20.656157,3
-100.786214,20.933159,6
-100.430853,25.229265,13
-92.409487,16.642041,3
-91.707433,16.106238,352
-100.00693,19.038665,3
-100.419159,25.25898,62
-101.572895,19.631843,8
-99.182424,19.313069,7
-104.73597,21.26538,12
-99.161685,19.430342,4
-99.745377,19.196061,7
-99.182026,19.319669,8
-96.410728,17.145502,42
-99.081407,19.265483,14
-99.087855,19.272181,4
-96.502855,16.169248,36
-101.166401,19.681633,5
-96.450239,16.95658,9
-98.257942,19.321101,3
-99.095993,19.419811,6
-99.934026,19.421822,2
-92.480851,16.66986,8
-92.430661,16.639373,45
-100.02552,19.040803,8
-99.933819,19.421903,3
-99.200149,19.106487,18
-92.487531,16.672708,9
-107.044859,28.552783,1
-99.21886,19.328099,172
-101.137218,19.96069,12
-99.043057,19.277565,42
-104.710051,24.013961,78
-99.938837,20.483909,13
-99.1839,19.296333,9
-92.469601,16.660555,3
-99.279546,19.025569,2
-99.043293,19.278415,20
-99.162587,19.433775,1
-99.122107,19.318778,20
-100.72816,20.917671,86
-96.771598,17.03525,104
-104.899778,24.101401,3
-100.18665,20.922967,14
-103.514557,19.538363,16
-103.584595,19.54914,8
-96.83759,16.758397,32
-99.199596,19.313239,1
-99.245623,19.225006,6
-96.51975,17.02965,537
-99.158821,19.340625,5
-92.38596,16.63828,12
